Item Id,SKU,Medium,Bristle Material,Brush Shape,Brand,Size,Handle Type,Handmade,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Model,
"265735726626","GDNBR393","","Red Sable","","Gordon Brush","","","","0901-02000","","","","","","","",
"265735703682","GDNBR394","","Red Sable","","Gordon Brush","","","","0901-03000","","","","","","","",
"255581084027","GDNBR395","","Red Sable","","Gordon Brush","24","","","0901-04000","","","","","","","",
"255580960307","GDNBR396","","Red Sable","","Gordon Brush","24","","","0901-05000","","","","","","","",
"255581000547","GDNBR397","","Red Sable","","Gordon Brush","24","","","0901-06000","","","","","","","",
"265735842179","GDNBR398","","Red Sable","","Gordon Brush","24","","","0901-08000","","","","","","","",
"255581254519","GDNBR409","","Red Sable","","Gordon Brush","12","","","0906-07000","","","","","","","",
"265735740330","GDNBR410","","Red Sable","","Gordon Brush","12","","","0906-08000","","","","","","","",
"265735706093","GDNBR411","","Red Sable","","Gordon Brush","12","","","0906-09000","","","","","","","",
"255581038269","GDNBR412","","Red Sable","","Gordon Brush","6","","","0906-10000","","","","","","","",
"255581144452","GDNBR413","","Red Sable","","Gordon Brush","6","","","0906-11000","","","","","","","",
"265735912333","GDNBR414","","Red Sable","","Gordon Brush","","","","0906-12000","","","","","","","",
"265735839115","GDNBR424","","Camel","Round","Gordon Brush","","","","0941-01000","","","","","","","",
"265735854356","GDNBR425","","Camel","Round","Gordon Brush","","","","0941-02000","","","","","","","",
"255581190346","GDNBR426","","Camel","Round","Gordon Brush","","","","0941-03000","","","","","","","",
"265735670403","GDNBR427","","Camel","Round","Gordon Brush","","","","0941-04000","","","","","","","",
"265735868574","GDNBR428","","Camel","Round","Gordon Brush","","","","0941-05000","","","","","","","",
"255581125499","GDNBR429","","Camel","Round","Gordon Brush","","","","0941-06000","","","","","","","",
"265735615383","GDNBR430","","Camel","Round","Gordon Brush","","","","0941-07000","","","","","","","",
"255581229406","GDNBR431","","Camel","Round","Gordon Brush","","","","0941-08000","","","","","","","",
"255581265177","GDNBR432","","Camel","Round","Gordon Brush","","","","0941-09000","","","","","","","",
"255580965240","GDNBR433","","Camel","Round","Gordon Brush","24","","","0941-10000","","","","","","","",
"265735844062","GDNBR434","","Camel","Round","Gordon Brush","24","","","0941-11000","","","","","","","",
"255581017310","GDNBR435","","Camel","Round","Gordon Brush","24","","","0941-12000","","","","","","","",
"265735950421","GDNBR436","","Camel","","Gordon Brush","","","","0945-01000","","","","","","","",
"255581044910","GDNBR437","","Camel","","Gordon Brush","","","","0945-02000","","","","","","","",
"265735800300","GDNBR438","","Camel","","Gordon Brush","","","","0945-03000","","","","","","","",
"255581180349","GDNBR439","","Camel","","Gordon Brush","","","","0945-04000","","","","","","","",
"265735842483","GDNBR440","","Camel","","Gordon Brush","12","","","0945-05000","","","","","","","",
"265735801376","GDNBR441","","Camel","","Gordon Brush","","","","0945-06000","","","","","","","",
"265735784918","GDNBR442","","Camel","","Gordon Brush","","","","0945-07000","","","","","","","",
"255581244319","GDNBR443","","Camel","","Gordon Brush","","","","0945-08000","","","","","","","",
"265735917944","GDNBR444","","Camel","","Gordon Brush","","","","0945-09000","","","","","","","",
"265735897359","GDNBR445","","Camel","","Gordon Brush","","","","0945-10000","","","","","","","",
"265735813753","GDNBR446","","Camel","","Gordon Brush","24","","","0945-11000","","","","","","","",
"255581025601","GDNBR447","","Camel","","Gordon Brush","24","","","0945-12000","","","","","","","",
"255581127185","GDNBR453","","","","Gordon Brush","12","","","0987-01000","","","","","","","",
