Item Id,SKU,Type,Brand,Scent,Features,Shape,Size,Theme,Color,Material,Number in Pack,Style,Power Source,Room,Country/Region of Manufacture,Personalize,Item Length,Battery Type,Item Width,Item Height,Item Weight,Handmade,MPN,Model,Burning Time,Custom Bundle,Customized,Bundle Description,California Prop 65 Warning,Personalization Instructions,
"265695086141","JECO5343","Decor","Jeco","","","","","","Purple","","3","","","","","","","","","","","","CFZ-062_12","","","","","","","",
"265697884848","JECO4533","Decor","Jeco","","","","","","Purple","","3","","","","","","","","","","","","CFZ-062_12_0","","","","","","","",
"255539199572","JECO5342","Decor","Jeco","","","","","","Brown","","3","","","","","","","","","","","","CFZ-063_12","","","","","","","",
"255528971658","JECO4536","Decor","Jeco","","","","","","Brown","","3","","","","","","","","","","","","CFZ-063_12_0","","","","","","","",
"265673942911","JECO4892","Decor","Jeco","","","","","","Black","","3","","","","","","","","","","","","CFZ-064_12","","","","","","","",
"255518027358","JECO4539","Decor","Jeco","","","","","","Black","","3","","","","","","","","","","","","CFZ-064_12_0","","","","","","","",
"255738069115","JECO5334","Decor","Jeco","","","","","","Silver","","3","","","","","","","","","","","","CFZ-066_12","","","","","","","",
"265644765526","JECO4545","Decor","Jeco","","","","","","Silver","","3","","","","","","","","","","","","CFZ-066_12_0","","","","","","","",
"255534544729","JECO5078","Decor","Jeco","Rose","","Rose","","","White","","3","","","","","","","","","","","","CFZ-067_12","","","","","","","",
"255539228529","JECO4548","Decor","Jeco","Rose","","Rose","","","White","","3","","","","","","","","","","","","CFZ-067_12_0","","","","","","","",
"255488944801","JECO5072","Decor","Jeco","Rose","","Rose","","","","","3","","","","","","","","","","","","CFZ-071_12","","","","","","","",
"255518112384","JECO4552","Decor","Jeco","Rose","","Rose","","","","","3","","","","","","","","","","","","CFZ-071_12_0","","","","","","","",
"265674191898","JECO5074","Decor","Jeco","Rose","","Rose","","","Pink","","3","","","","","","","","","","","","CFZ-072_12","","","","","","","",
"255524254544","JECO4554","Decor","Jeco","Rose","","Rose","","","Pink","","3","","","","","","","","","","","","CFZ-072_12_0","","","","","","","",
"255528798507","JECO5075","Decor","Jeco","Rose","","Rose","","","Purple","","3","","","","","","","","","","","","CFZ-073_12","","","","","","","",
"265680126737","JECO4556","Decor","Jeco","Rose","","Rose","","","Purple","","3","","","","","","","","","","","","CFZ-073_12_0","","","","","","","",
"265669300909","JECO5076","Decor","Jeco","Rose","","Rose","","","Red","","3","","","","","","","","","","","","CFZ-074_12","","","","","","","",
"265897242949","JECO4558","Decor","Jeco","Rose","","Rose","","","Red","","3","","","","","","","","","","","","CFZ-074_12_0","","","","","","","",
